word,count
aaawww,1
abated,1
abbott,2
abides,2
abject,3
ablard,2
ablaze,3
aboard,25
abound,1
abrams,1
abroad,51
abrupt,18
absent,28
absorb,13
absurd,17
abused,5
abuses,7
acacia,3
acadia,1
accede,1
accent,9
accept,72
access,24
accord,9
accuse,10
aching,6
aconte,1
acorns,1
across,282
acting,61
action,291
active,88
actors,15
actual,99
acumen,1
adagio,3
adcock,1
addict,1
adding,22
adduce,1
adelia,5
adelos,1
adhere,4
adipic,1
adjust,16
admire,10
admits,2
adonis,1
adopts,2
adored,2
adores,1
adorns,1
adrian,4
adrien,2
adrift,1
adroit,1
adults,23
advent,5
adverb,1
advice,52
advise,9
aegean,15
aerate,1
aerial,8
affair,33
affect,35
affied,1
affirm,12
afford,40
afghan,3
afield,1
aflame,3
afloat,7
afraid,57
afresh,2
africa,45
afrika,1
agates,1
agatha,2
agayne,1
agency,56
agenda,5
agents,39
aggies,2
aghast,1
agleam,1
agnese,6
agoeng,1
agreed,81
agrees,11
ahmiri,1
ahrens,1
aiding,7
ailing,2
aiming,5
airily,2
airmen,1
alarms,1
alaska,22
albany,11
albeit,2
albers,1
albert,29
albums,2
alcorn,2
alerts,1
alexei,1
alexis,2
alfred,52
alibis,1
alicia,4
aliens,3
alight,3
alison,1
alkali,4
allege,1
alleys,1
allied,29
allies,30
allons,1
allows,19
alloys,3
allure,1
almond,1
almost,432
alokut,1
alpers,2
alpert,5
alsing,1
alters,1
althea,1
alumni,9
alusik,1
alvear,1
alvise,2
always,458
amadee,4
amaral,1
amazed,11
amazon,2
ambled,1
ambler,1
ambush,7
ameaux,2
amicam,1
amidst,3
amines,1
amoral,2
amount,172
amulet,1
amused,9
anabel,1
anania,1
anchor,15
andean,2
anders,2
andrea,4
andrei,18
andres,1
andrew,12
andrus,12
anemia,5
anemic,1
angell,1
angelo,8
angels,24
angles,11
anglia,1
angola,3
anhwei,1
animal,68
anions,1
ankara,1
ankles,7
annals,4
annoys,1
annual,93
anodes,1
anomic,1
anomie,1
ansley,1
answer,152
anthea,3
anthem,1
antics,4
antler,3
antone,1
antony,2
anyhow,20
anyone,140
anyway,46
apache,1
apathy,3
apiece,2
aplomb,1
apogee,2
apollo,5
appeal,63
appear,117
appian,1
apples,6
aprons,1
arabia,1
arabic,6
arable,3
arcade,3
arched,11
arches,7
arctic,4
ardent,12
arenas,3
argive,1
argued,29
argues,10
arhats,1
arisen,4
arises,14
arlene,26
armata,2
armbro,1
armful,1
armide,1
armies,15
armond,1
armory,1
armour,2
armpit,2
arnica,1
arnold,20
aromas,2
around,562
arouse,5
arrack,1
arrest,19
arrive,24
arrows,6
arroyo,3
arside,1
artery,46
artful,1
arthur,51
artist,57
arturo,2
ascend,1
ascent,1
ashley,1
ashman,1
ashore,6
asians,1
asking,67
asleep,30
aspect,47
aspire,3
assail,3
assent,4
assert,19
assess,6
assets,13
assign,18
assist,26
assume,63
assure,37
asters,1
asthma,1
astral,1
astray,3
astute,1
asylum,1
athena,1
athens,8
atomic,46
atreus,2
attach,14
attack,105
attain,20
attend,54
attest,2
attica,1
attire,6
attlee,1
auburn,2
audits,1
audivi,1
audrey,1
augurs,1
august,53
auntie,3
aurora,2
austin,18
author,46
autism,2
autumn,22
avenge,2
avenue,46
aviary,1
avidly,1
avoids,3
avowed,2
awaits,3
awaken,7
awards,17
awhile,4
axioms,2
azalea,2
babies,12
backed,24
badges,1
badmen,1
baffin,1
baffle,1
bagged,1
bagley,1
bailey,3
bailly,3
baines,1
baited,1
bakery,2
baking,4
balkan,2
balked,2
ballad,8
balled,1
ballet,45
ballot,12
baltic,3
balzac,2
banana,4
banded,2
bandit,3
bandon,1
banged,4
banish,4
banked,4
banker,5
banned,2
banner,8
banter,5
bantus,3
barbed,11
barber,8
barcus,4
barely,31
barest,3
bargen,1
barges,3
barium,1
barker,8
barley,6
barnes,9
barnet,1
barney,8
barons,1
barony,1
barred,8
barrel,24
barren,7
barrow,1
bartha,1
bartok,1
bartol,1
barton,25
bascom,3
bashaw,2
bashir,1
basics,1
basing,4
basked,1
basket,17
basler,1
baslot,2
basses,1
bassis,1
bateau,2
bathed,7
bathos,1
batted,2
batten,3
batter,2
battle,87
bauble,1
bawled,2
baying,1
baylor,2
bazaar,7
beacon,5
beaded,1
beadle,4
beaker,2
beards,5
bearer,4
beasts,2
beaten,15
beatie,4
beauty,71
beaver,3
became,246
becket,2
beckon,1
become,359
bedded,1
bedlam,1
beefed,1
befall,2
befell,1
befits,1
before,1016
beggar,2
begged,13
begins,55
begley,2
behahn,1
behalf,21
behave,13
beheld,3
behind,258
behold,4
beinge,2
beings,36
beirut,1
bekkai,1
belfry,1
belied,3
belief,64
belles,1
bellow,4
belong,37
belted,2
belton,2
belzec,1
bemoan,1
benesi,1
benets,1
bengal,4
benign,1
benita,1
benoit,1
benson,17
berche,1
bereft,2
berger,15
berlin,74
berman,6
bernet,1
bernie,1
bertha,5
berton,1
besets,1
beside,78
besset,1
bessie,1
bested,1
bester,1
bestes,1
bestow,2
bethel,1
betide,2
betray,4
betsey,2
better,414
bevels,1
bewail,1
beware,3
beyond,175
bianco,2
biases,1
bibles,1
biceps,3
biches,1
bidder,2
biddle,1
bierce,1
bigger,34
bigots,1
bilked,2
billed,3
billet,1
billie,3
bimini,1
binder,1
bindle,1
biopsy,2
birdie,5
birgit,1
births,4
bishop,18
bisque,6
biting,6
bitten,3
bitter,53
blaber,1
blacks,3
blades,12
blaine,2
blakey,3
blamed,7
blanks,3
blared,1
blasts,4
blazed,2
blazer,1
blazon,1
bleary,2
bleats,1
bleeps,1
blends,2
blight,2
blinds,3
blithe,2
blocks,37
blocky,2
blokes,1
blonde,20
bloods,1
bloody,8
blooms,3
bloops,1
blouse,1
blower,4
blowup,1
bluffs,4
bluing,1
bluish,2
blunts,1
blurry,1
