word,count
aahs,0
aals,0
aani,0
aaru,0
abac,0
abas,0
abay,0
abba,0
abbe,3
abbr,0
abby,0
abed,1
abel,20
aber,1
abet,0
abey,0
abib,0
abie,0
abir,0
abit,0
able,216
ably,2
abos,0
abow,0
abox,0
abra,1
abri,0
absi,0
abut,0
abye,0
abys,0
acad,0
acca,0
acce,0
acct,0
aced,0
acer,0
aces,4
acey,3
ache,4
achy,0
acid,13
acis,0
acle,0
aclu,0
acme,0
acne,0
acop,0
acor,0
acpt,0
acre,10
acta,0
actg,0
acth,1
acts,39
actu,0
acus,0
acyl,0
adad,0
adai,0
adam,44
adar,0
adat,0
adaw,0
aday,0
adda,0
addn,0
addr,0
adds,10
addu,0
addy,0
aden,0
adet,0
adib,0
adin,0
adit,0
adjt,0
admi,0
adod,0
adon,0
ador,0
ados,0
adry,0
advt,0
adze,0
aeon,1
aero,0
aery,0
aesc,0
afar,2
afer,0
affa,0
afft,0
affy,0
afro,0
agad,0
agag,0
agal,0
agao,0
agar,0
agas,0
agau,0
agaz,0
agba,0
agcy,0
aged,18
agee,1
agen,0
ager,0
ages,51
aget,0
agha,0
agib,0
agin,2
agio,0
agit,0
agla,0
agly,0
agma,0
agog,0
agon,0
agos,0
agra,0
agre,0
agst,0
agua,0
ague,1
ahab,0
ahah,1
ahem,1
ahet,0
ahey,0
ahir,0
ahom,0
ahoy,0
ahum,0
aias,0
aida,1
aide,9
aids,27
aiee,1
aiel,0
aile,0
ails,0
aimo,5
aims,16
aine,0
ains,0
aint,0
ainu,1
aion,0
aira,0
aire,0
airn,0
airs,3
airt,0
airy,7
aith,0
aits,0
aivr,0
ajar,2
ajax,0
ajee,0
ajog,0
akal,0
akan,0
aked,0
akee,0
aker,0
akey,0
akha,0
akia,0
akim,0
akin,10
akka,0
akov,0
akra,0
akre,0
alae,0
alai,1
alan,5
alap,0
alar,0
alas,10
alay,0
alba,1
albe,0
albi,0
albs,0
alca,0
alce,0
alco,0
aldm,0
aldo,1
alea,0
alec,25
alee,0
alef,0
alem,0
alen,0
ales,0
alew,0
alex,30
alfa,1
alga,0
algy,0
alia,1
alif,0
alii,0
alin,0
alit,0
alix,2
alky,0
alla,2
alle,0
allo,0
alls,0
ally,9
alma,7
alme,0
alms,0
alod,0
aloe,0
alop,0
alow,0
alps,2
also,1069
alto,4
alts,0
alum,1
alur,0
alva,2
alya,0
amah,0
amal,0
amar,0
amas,0
amay,0
amba,0
ambe,0
ambo,0
amdt,0
amel,0
amen,19
amex,0
amia,0
amic,0
amid,14
amie,0
amil,0
amin,0
amir,0
amis,1
amit,0
amla,0
amli,0
amma,0
ammi,0
ammo,4
ammu,0
amok,0
amor,0
amos,3
amoy,0
amps,0
amra,1
amus,0
amyl,0
anal,0
anam,0
anan,0
anas,0
anat,0
anax,0
anay,0
anba,0
anda,0
ande,0
andi,0
ands,0
andy,33
anes,0
anet,0
anew,6
anga,0
ango,0
anil,0
anim,0
anis,0
ankh,0
anna,7
anne,42
anni,0
anno,0
anoa,0
anon,0
anre,0
ansa,0
